카테고리,검색어,제목,상태,가격,지역,등록시각,채팅수,관심수,조회수,매너온도,판매자닉네임,상세카테고리,거래희망장소,상세설명,가격원
청소기,다이슨 청소기,다이슨 G1 판매합니다(물걸레청소기),거래중,"250,000원",잠실본동,2026-07-31,0,16,234,41.8℃,웰컴레인,생활가전,,"다이슨 G1 판매합니다.
정식몰에서 구매하였으며
롤도 새거 한세트 더 있습니다!(정식 몰 구매)
전체적으로 제가봤을때는 상태가 좋습니다!
상태바에 비닐도 아직 안떼었습니다!

강아지나 고양이 등 애완동물 안키웠습니다.",250000
청소기,다이슨 청소기,다이슨 옴니글라이드 퍼플 청소기,거래중,"180,000원",가락본동,2026-08-27,0,5,67,45.2℃,그냥하자,생활가전,직거래 경찰병원건너 먹자골목,"다이슨 옴니글라이드
 퍼플 무선청소기
가벼워서 지저분한거 보이면 
가까운곳어 두고 즉시 청소할 수
있어 좋아요
사진처럼 사용감 많지 않고
전체적으로 깨끗합니다
헤드 주름관은 보수했구요
나머지 부속품은 거치대에
꽂아있어요
배터리는 22분 작동합니다
직거래 경찰병원건너 먹자골목
함경도 찹쌀순대 사거리
",180000
청소기,다이슨 청소기,다이슨 무선 청소기,거래중,"75,000원",문정1동,2026-08-25,0,10,1054,59.8℃,텔미,생활가전,,"다이슨 무선 청소기입니다. 
사진과 같이 양호하며 충전과 작동에 이상없으면 사진과 같이 발송 해 드립니다
얼마전 브러쉬와 먼지통 물 세척하였습니다
마지막사진에 깨진부분 순간접착제로 단단하 붙여서 사용이 이상 없습니다 

경기도 군포시 당동로 21번길 52 kcc 아파트 ",75000
청소기,다이슨 청소기,다이슨 무선청소기 옴니-글라이드 팔아요. 배터리 20분작동 합니다.,거래중,"130,000원",오금동,2026-06-01,2,11,451,90.3℃,잘팔고사자,생활가전,,"제일 가벼운 무선 청소기 입니다.
작은 방이나 혼자 사시는분들 사용하시기 정말 편합니다.
먼지통 비우는것도 쉽고 가벼워서 손목 부담도 적어 청소하는 즐거움이 배나 된답니다.^^

배터리는 직접 시간 테스트했어요.
20분정도 작동 합니다.

본체 정품 충전기랑 스텐드거치대 사진에 보이는것만 드립니다.

정상작동 합니다.

as기간 지나서 언제 구입했는지 문의에 답안드립니다.

지금까지 문제없이 잘사용했어요.

전 송파 오금동 살고 거여초 근처에서 거래합니다.
차가 있어 오시기 어려우시면 기름값 좀 보태 주시면 배달해드릴게요.
01054957956으로도 연락 많이 주세요.

감사합니다.^^",130000
청소기,다이슨 청소기,다이슨 펜슬백 플러피콘 풀박스 구성 (배터리교체하여 새것),거래중,"350,000원",문정1동,2026-08-30,0,4,110,47.6℃,몽몽이,생활/주방,,,350000
청소기,다이슨 청소기,다이슨 DC45 animal 청소기,거래중,"60,000원",문정1동,2026-08-30,0,0,43,42.5℃,김경제,생활가전,다른구성품은 없구 사진에 보는본체.연장관.브러시.충전기만 있습니다 모터는  작동이 잘됩니다 구성품이 없어 싸게 직거래로 거래합니다 깨끗히 세척 해놨습니다 (가격문의 사절) 생활기스는 조금 있는점 감안하세요,"다이슨 DC45 animal 청소기입니다
본체, 연장관, 플러피 헤드, 충전기 포함이에요
강력한 흡입력으로 집안 곳곳 깨끗하게 청소할 수 있어요
바닥 먼지부터 좁은 틈새까지 놓치지 않고 청소하고 싶으신 분들께 추천드려요
다른구성품은 없구 사진에 보는본체.연장관.브러시.충전기만 있습니다 모터는  작동이 잘됩니다 구성품이 없어 싸게 직거래로 거래합니다 깨끗히 세척 해놨습니다 (가격문의 사절) 생활기스는 조금 있는점 감안하세요",60000
청소기,다이슨 청소기,dyson 무선진공 청소기 SV10팔아요,거래중,"75,000원",장지동,2026-07-31,2,15,228,74.1℃,LEEYK0102,생활가전,,"모 델 명 : SV10
배 터 리 : 21.6v-485wh리튬
구      성 1.MAIN 본체 1Set
               2.아답터780mA
               3.벽 거치대
               4.연결봉(긴것)
배터리 정속mode로 20분 정도
작동하며 흡입력 강하고 배터리는
더 쓰시다가 리필하세요~^
",75000
청소기,다이슨 청소기,다이슨 V10 카본파이버 무선청소기 판매합니다,거래중,"180,000원",문정1동,2026-08-28,0,12,203,61.6℃,하하,생활가전,,,180000
청소기,다이슨 청소기,다이슨 V8 앱솔루트 무선 청소기,거래중,"100,000원",거여동,2026-09-01,0,1,,,,,,,100000
청소기,다이슨 청소기,다이슨 V15 오리진 플러피 무선청소기 레드,거래중,"400,000원",송파1동,2026-08-03,0,8,177,43.8℃,이이이이이이이,생활가전,,,400000
청소기,다이슨 청소기,다이슨 슬림 무선 청소기,거래중,"170,000원",문정1동,2026-08-10,2,15,887,53.2℃,sky,생활가전,,"상태 좋습니다. 
사진이나 텍스트 설명 외에 추가 내용은 모릅니다 (제조일자/구매시기/구매영수증/소재등)",170000
청소기,다이슨 청소기,다이슨 옴니글라이드 퍼플 무선청소기,거래중,"180,000원",문정1동,2026-08-12,2,41,1232,42.8℃,수색동러너,생활가전,,"다이슨 옴니글라이드 무선청소기 퍼플 색상이에요
사진에서 보이는 구성품 그대로 드려요
가볍고 슬림해서 청소하기 편하실거예요
좁은 공간 청소도 문제없는 제품입니다
출산후 스팀청소기로 바꾸면서 팔아요",180000
청소기,다이슨 청소기,다이슨 V6 플러피 무선 청소기 블루 : 6500mah 대용량 호환 새밧데리와 거치대등 풀셋구성,거래중,"70,000원",문정1동,2026-08-28,0,7,168,99℃,당근포유,,,,70000
청소기,다이슨 청소기,다이슨 V8 플러피 무선 청소기,거래중,"80,000원",문정1동,2026-08-23,2,27,1321,43.5℃,머니,생활가전,,"다이슨 V8 플러피 무선 청소기 판매해요
사진에 보이는 구성품 모두 포함되어 있어요
 배터리 교환해야합니다 쿠팡에서 3만정도 합니다
청소깨끗이 해놔서 배터리만 교환하면 바로 사용가능합니다
",80000
청소기,다이슨 청소기,다이슨 V8 무선 청소기 거치대 포함,거래중,"70,000원",잠실2동,2026-07-01,28,38,738,36.6℃,겨울이,생활가전,,"다이슨 V8 무선 청소기입니다.
실내용으로만 사용했습니디. 
사용감 사진확인하세요. 긁힘있어서 싸게 팔아요~ 
거치대 포함입니다.",70000
청소기,다이슨 청소기,dyson 무선 진공청소기(배터리 교체요함) 2종Set입니다~,거래중,"50,000원",장지동,2026-07-31,3,7,747,74.1℃,LEEYK0102,생활가전,,"                 #1               
모    델 :   V6              SV10
배터리 : 21.6v 리튬
              64.6wh    -  485wh
구 성   1. Main 본체     2Set
            2.흡입 헤드        2ea
            3. 연결봉            1ea
            4. 배터리  (교체해야됨)
            5. 연결봉V6     SV10
 ※ 헤드(주름관) 연결 호스 수정요
#1  V6 는 배터리교체 
#2  SV10은 헤드연결호수 수리
SV10은 오래가지 않으니 감안
하시고 흡입부 연결자바라는 수리
감안해서 구입바람니다~^
※부품용으로 싸게 올립니다.",50000
청소기,다이슨 청소기,다이슨 V8 앱솔루트 무선청소기 (고용량 새배터리),거래중,"150,000원",문정1동,2026-08-25,0,16,337,99℃,마이크다이슨,생활가전,,,150000
청소기,다이슨 청소기,다이슨 청소기 DC 62,거래중,"20,000원",가락1동,2026-07-31,1,10,594,55.9℃,mjlemon,생활가전,,"메인청소기 아니고 보조청소기로 사용했지만 사용감 있고 약간의 깨짐 (네번째 사진) 있지만 작동과는 상관없구요. 다만 배터리 수명이 다해 1분 미만으로 작동되요.
배터리 교체해서 쓰시던지 아님 보조청소기로 쓰셔야 해요.
침구 청소기는 깨끗하고
마지막 사진 툴 두개는 사용안해서 새거입니다.
충전기 구성품 다 있어요.
",20000
청소기,다이슨 청소기,다이슨 V7 플러피 퍼플 무선 청소기,거래중,"60,000원",문정1동,2026-08-19,2,23,1292,65.5℃,보리밭파수꾼,생활가전,▶️선입금 확인 후 문고리거래🚪,"다이슨 V7 플러피 퍼플 무선 청소기입니다
사진에서 보이는 구성품 그대로 드려요
가벼워서 청소하기 편하실 거예요
자취방이나 1인 가구에 딱 맞는 청소기랍니다

마지막 사진 핸드 부분 크랙있습니다만 
사용에 지장 없습니다.

🔥예약 시 예약금(1만원) 받습니다. 거래 파기 방지용 🔥
🔥가격 제시(네고) 불가합니다.🔥
🔥판매 안될 시 가격 내립니다. 🔥
🔥구매자의 변심으로 인한 환불 불가합니다.🔥

▶️선입금 확인 후 문고리거래🚪
▶️중고특성상 예민한분은 패쓰❌
▶️환불•교환•반품 불가
😄매너 있는 거래가 되길 희망합니다. 😄",60000
청소기,다이슨 청소기,다이슨 디지털 슬림 무선 청소기,거래중,"230,000원",방이1동,2025-08-30,3,6,847,60.4℃,나누기,디지털기기,,"구매한지 4년정도
정품 구매
생활감있음
카페터용 미니 헤더는 한번도 사용하지않음
미세척",230000
청소기,다이슨 청소기,다이슨 v10 청소기,거래중,"130,000원",문정1동,2026-08-11,2,7,301,61℃,당근당근,생활가전,,"상태좋아요 
사진 구성 그대로 드려요 

배터리는 방전 되어서 호환 배터리 주문했는데
로봇청소기 생겨서 팔아요
배터리 새거로 교체해서 보내드릴께요 

미니모터툴 상태좋아요 

아답터는 호환용 입니다

사진 일괄 14만원에 팝니다",130000
청소기,다이슨 청소기,다이슨 V11 컴플리트+ 무선청소기,거래중,"200,000원",문정1동,2026-08-30,1,1,47,65.8℃,ok,생활가전,,"다이슨 V11 컴플리트+ 무선청소기입니다
사진에서 보시는 것처럼 구성품 모두 포함되어 있어요
LCD 화면으로 배터리 잔량과 청소 모드를 쉽게 확인할 수 있답니다
강력한 흡입력으로 집안 구석구석 깨끗하게 청소하고 싶으신 분들께 추천드려요
배터리 상태 사진괓같아요
깨끗하게 세척된 청소기 입니다",200000
청소기,다이슨 청소기,다이슨 워시 G1 무선 물걸레 청소기,거래중,"380,000원",가락동,2026-07-31,0,1,114,50.5℃,이삿짐줄이기,생활가전,가락동 직거래 가능합니다,"다이슨 워시 G1 무선 물걸레 청소기 판매해요
+ 새상품 물걸레 한세트 더 드려요
새 제품 가격은 부담스러우셨다면 좋은 기회일 거예요
깨끗한 바닥 관리를 위한 필수템으로 추천드려요

3회 미만으로 사용해서 상태 아주 좋고
무상점검으로 클리닝 받아둔 상태예요

크기때문에 택배는 어려울것 같고
가락동 직거래 가능합니다",380000
청소기,다이슨 청소기,다이슨 V8 무선 청소기,거래중,"90,000원",문정1동,2026-08-16,1,11,364,53.9℃,희채니,생활가전,,"다이슨 V8 무선 청소기입니다
사진에 보이는 구성품 모두 포함되어 있어요
깔끔한 디자인으로 인테리어 효과도 좋아요
강력한 흡입력으로 집안 구석구석 깨끗하게 청소할 수 있어요
거치대포함 입니다",90000
청소기,다이슨 청소기,다이슨 V6 Absolute 청소기,거래중,"40,000원",거여2동,2026-06-01,1,14,582,45.3℃,수지닝,생활가전,,"다이슨 V6 앱솔루트(헤파필터) 무선청소기 판매합니다

- 배터리 방전돼서 교체하셔야해요! 알리 사제 사서 교체 가능하다네용
- 10만원 넘게 주고 산 거치대도 드려요
- 직구로 구매하여 어댑터는 110v
   (인터넷에 220v 호환 어댑터 팔고있음)
   (100~240v 지원되는 프리볼트 제품이라 돼지코
     끼워서 사용했음, 돼지코 드림)",40000
청소기,다이슨 청소기,다이슨 SV25 V8 청소기,거래중,"130,000원",문정1동,2026-07-01,4,20,665,52.5℃,ARHMGS,생활가전,,"다이슨 SV25 V8 구성품 모두 있어요
사진에 보이는 그대로 보내드려요
청소기 본체, 연장관, 플러피 클리너 헤드, 충전 거치대, 충전기, 틈새 노즐, 콤비 브러시 포함이에요
강력한 흡입력으로 집안 구석구석 깨끗하게 청소할 수 있어요
2년 정도 사용했고 특별한 기스는 없습니다.",130000
청소기,다이슨 청소기,다이슨 V6 매트리스 무선 청소기,거래중,"45,000원",잠실동,2026-08-12,0,5,83,41.8℃,에디히긴스,생활가전,직거래만 합니다,"다이슨 V6 매트리스 무선 청소기입니다

박스와 구성품 모두 포함되어있고 
보조 구성품은 포장채 그대로 새것입니다

주로 한달에 1회정도 침대와 소파 청소로만 
사용해서 상태 좋은편이에요
사진상태와 똑같습니다

1인가구 집청소나 어르신 간단청소 사용에
활용하기좋을듯 합니다

단지, 손잡이 부분 쪽이 떨어져 접착제로
고정되어있는 부분 참고 바랍니다(사진첨부)

충전 효율도 높고, 작동 잘됩니다!

교환 및 환불 불가
직거래만 합니다",45000
청소기,다이슨 청소기,다이슨 V7 플러피 무선청소기 정상 작동 합니다,거래중,"60,000원",문정1동,2026-08-29,1,7,398,99℃,리사이클,기타 중고물품,,,60000
청소기,다이슨 청소기,정품 다이슨 청소기 v7 v8 v10 v11 v15 브러쉬,거래중,"28,000원",잠실4동,2026-03-03,1,1,79,45.4℃,안뇽,생활가전,,"다이슨 청소기 브러쉬 툴입니다
정품은 비싸요. 
먼지 제거에 효과적입니다",28000
청소기,다이슨 청소기,다이슨 V7 무선 청소기,거래중,"100,000원",문정1동,2026-08-23,1,9,580,67.9℃,심쿵,생활가전,,"다이슨 V7 무선 청소기입니다
사진에 보이는 구성품 그대로 드려요
강력한 흡입력으로 집안 구석구석 깨끗하게 청소할 수 있어요
자주 사용하지 않아 깨끗하게 사용하실 분께 추천드려요
사용감있지만 상태양호합니다 
배터리는 일반모드로
무부한20분간만 연속방전
테스트했습니다",100000
청소기,다이슨 청소기,다이슨 V6 청소기 본체만 배터리 제외,거래중,"15,000원",잠실4동,2026-08-30,0,4,69,53.1℃,나타샤,생활가전,,"다이슨 V6 청소기 본체입니다
사진에서 보이는 구성품 그대로 드려요
청소기 본체만 필요하신 분께 추천드려요
작업용이나 부품용으로 사용하기 좋아요

배터 제외
정상동작

잠실사동 주민센터 직",15000
청소기,다이슨 청소기,다이슨 싸이클론 V10 엡솔루트청소기:정품배터리 거의새거와 거치대등 풀셋구성,거래중,"160,000원",문정1동,2026-08-30,0,7,131,99℃,당근포유,,,,160000
청소기,다이슨 청소기,정품 다이슨 청소기 벽걸이 거치대 V7 V8,거래중,"20,000원",잠실4동,2026-03-03,1,0,97,45.4℃,안뇽,생활가전,,"다이슨 청소기 벽걸이 거치대입니다
정품은 비싸요. 
V7, V8 모델에 호환됩니다
다이슨 무선청소기는 강력한 흡입력으로 먼지를 효과적으로 제거하고, 다양한 노즐을 이용하여 집안 곳곳을 청소할 수 있습니다
벽걸이 거치대를 사용하면 청소기를 깔끔하게 보관하고 공간 활용도를 높일 수 있습니다",20000
청소기,다이슨 청소기,다이슨 V8 원목 거치대 풀세트,거래중,"30,000원",가락본동,2026-08-27,1,2,41,39.6℃,조아저씨,생활가전,,"다이슨 V8 청소기 거치대와 다양한 구성품
사진에 보이는 모든 구성품 포함되어 있습니다
깔끔한 원목 디자인으로 인테리어 효과까지   배터리는 올해구매했고  충전기도 드립니다",30000
청소기,다이슨 청소기,다이슨 V8 앱솔루트 무선 청소기,거래중,"75,000원",문정1동,2026-08-30,0,7,233,48.5℃,당근백곰,생활가전,,"다이슨 V8 앱솔루트 무선 청소기입니다
다양한 구성품과 함께 사용 가능해요
사진에서 보이는 그대로의 제품입니다.
충전기 브러쉬 같이  있어요
강력한 흡입력으로 집안 구석구석 깨끗하게 청소할 수 있어요.

생활기스 있으며 한달 전 당근에서 구매했는데 제대로 쓰지도 못하고 보관만했어요~새상품 선물이 들어와서 
재판매합니다. 

중고상품으로 예민하신 분은 사절합니다.
쿨거래 원합니다.
사진 참고 잘 해주세요!
    ",75000
청소기,다이슨 청소기,다이슨 V8 무선청소기 (레드)새제품,거래중,"258,000원",오륜동,2026-07-01,4,24,275,57.9℃,매화꽃향기,생활가전,,"26년 다이슨 국내 정품 다이슨 V8 무선청소기 레드 , 박스 개봉 안한 새제품이예요. 
다이슨 홈페이지에 등록, as 가능한 새제품입니다.  2년보증. 다이슨 쓰던게 있어서  포장 뜯지도 않고 팔아요.  남이 쓰던 지저분한  중고사서 배터리와 부품 교환하고 나중에 고장나면 돈이 더 들어요.
",258000
청소기,다이슨 청소기,다이슨 펜슬백 플러피콘 청소기 미개봉 새상품 ✨,거래중,"400,000원",문정1동,2026-08-21,2,21,425,69.8℃,너와,생활/주방,,,400000
청소기,다이슨 청소기,다이슨 워시 G1 물걸레 청소기,거래중,"210,000원",송파동,2026-07-31,0,3,78,39.3℃,우왕,생활가전,,"다이슨 워시 G1 물걸레 청소기 판매해요
사진에 보이는 구성품 모두 포함되어 있어요
물걸레 청소와 흡입을 동시에 할 수 있어 편리해요
바닥 청소를 간편하게 하고 싶으신 분들께 추천드려요

10번 내외 사용.",210000
