카테고리,검색어,제목,상태,가격,지역,등록시각,채팅수,관심수,조회수,매너온도,판매자닉네임,상세카테고리,거래희망장소,상세설명,가격원
청소기,다이슨 청소기,다이슨 V8 무선 청소기,거래완료,"70,000원",양평제1동,2026-08-26,2,11,167,47.4℃,맥가이버,생활가전,# 직거래만 가능해요.,"다이슨 V8 무선 청소기입니다
사진에 보이는 구성품 그대로 드려요
강력한 흡입력으로 집안 곳곳 깨끗하게 청소할 수 있어요
자주 사용하지 않아 깨끗하게 사용하실 분께 추천드려요
거치대 포함입니다",70000
청소기,다이슨 청소기,다이슨 V10 앱솔루트 퍼플 무선 청소기 강서,거래중,"160,000원",양평제2동,2026-08-25,0,6,60,95℃,만물,생활가전,영복교회,"다이슨 V10 앱솔루트 무선 청소기 퍼플 색상이에요
사진에서 보이는 구성품 그대로 드려요
강력한 흡입력으로 집안 구석구석 깨끗하게 청소할 수 있어요
자주 사용하지 않아 깨끗하게 사용하실 분께 추천드려요",160000
청소기,다이슨 청소기,다이슨 펜슬워시 무선청소기 (본체+헤드) 동작,거래중,"200,000원",신길제5동,2026-08-23,0,3,74,37.2℃,이쁜이이모,생활가전,거래는 직거래로만 하며 목동524-10에서 거래합니다!!,"다이슨 무선 청소기입니다

청소기 헤드부분 크렉이 있지만 사용에는 문제 없습니다. 청소기 거치대도 있으니 세트로 가져가시면 됩니다. 

필요하신분 가져가세요~",200000
청소기,다이슨 청소기,다이슨 청소기 장난감 양천,예약중,"10,000원",양평제1동,2026-08-30,0,0,11,49.7℃,더당그너,유아동,직거래는 평일 8시 이후 가능,"아이들이 좋아하는 다이슨 청소기 장난감이에요
실제 청소기처럼 작동하는 재미있는 장난감으로
청소 놀이를 즐길 수 있어요

박스 있습니다.
부품다 있고 고장난데 없습니다.

워킹맘으로 시간맞추기 어려워요
직거래는 평일 8시 이후 가능
문고리 거래 가능
반값택배 가능",10000
청소기,다이슨 청소기,다이슨 V7 무선 청소기,거래완료,"40,000원",신길제1동,2026-08-30,2,5,147,38.3℃,GPIQ,생활가전,직거래만 가능. 당산2가 현대아파트,"(다이슨 v12 디지털 슬림 플러피 플러스) 모델입니다.
21년도에 백화점에서 구매한 상품이며

약 3년간 5평 원룸에서 5분 미만으로 가끔 사용하다가

최근 24년 부터 약 9개월간 해외 출장으로 사용하지
못하고 보관만 하다가 아예 해외로 거주지를 옮기면서
판매합니다.

제가 구매후 사용을 많이 한 편이 아니라서 
제품상 이상이 하나도 없었지만, 당근 거래를 위해

’2025.01.18(토)‘ 오전에 다이슨 정식 엔지니어를 불러 
다이슨 정품 새 배터리와 정품 새 충전기로 교체한 
거의 새상품인 제품입니다.

연락주세요!",40000
청소기,다이슨 청소기,다이슨 무선 청소기 + 거치대,거래중,"24,000원",신길제1동,2026-08-28,2,9,381,58.5℃,걸어서당근운동,생활가전,직거래 독산4동 주민센터 부근에서 가능합니다.,"다이슨 무선 청소기 판매해요
사진에 보이는 구성품 모두 드려요
21.6V 2000mAh 배터리 장착되어 있어요
깔끔한 집안 환경을 위한 필수템이에요
(ai 작성)

배터리가 지금 방전상태이고
어댑터는 전압 정상이라네요
깨끗한 상태이고
거치대만 2만원 넘는다네요
부품용이나 밧데리교환해서 싸게 가져가실분
환불 안됩니다",24000
청소기,다이슨 청소기,다이슨 청소기 헤드 및 구성품,예약중,무료나눔,신길제5동,2026-08-29,3,3,49,43.6℃,꾸미맘,생활가전,거치대 그대로 드리기 때문에 문고리 거래만 가능해요,"다이슨 청소기 헤드와 다양한 구성품들 드립니다.
사진에 보이는 모든 구성품 포함이며, 청소 효율을 높여줄 다양한 액세서리들이에요
다이슨 청소기 사용하시는 분들이라면 더욱 유용하게 사용하실 수 있을 거예요
다양한 곳을 깔끔하게 청소하고 싶으신 분들께 추천드려요


*다이슨 구버전 청소기도 있긴한데 오래써서
관심있으시면 문의주세요.",0
청소기,다이슨 청소기,다이슨 청소기 거치대,거래중,"22,000원",당산제1동,2026-08-13,0,5,407,43.7℃,파이냥냥이,생활가전,목일중학교,"다이슨 Ball 유선 청소기입니다
싸이클론 기술로 먼지를 강력하게 흡입합니다
볼 디자인으로 부드럽게 움직여서 청소가 편리합니다
사용감은 있지만, 기능에는 문제 없습니다

정상작동합니다  이사하면서 집이좁아서 작은청소기 사용하고 이건 팔아요",22000
청소기,다이슨 청소기,다이슨 V8 앱솔루트 무선청소기 당산동1가,거래완료,"39,000원",영등포동,2026-08-25,2,2,171,36.5℃,몽셀,생활가전,신대방삼거리역 5번출구앞,"다이슨 V8 앱솔루트 무선청소기
사진에서 보이는 구성품 그대로 드려요
사용감 기스 있습니다 (사진참고)
현재 작동이 안돼서 부품용 or 배터리 교체해서 사용하시면 될 거예요",39000
청소기,다이슨 청소기,"다이슨 청소기 V10 호환 배터리 4000mAh (새제품) / SV12, SV12G, SV27 호환",거래중,"45,000원",신길제5동,2026-08-28,0,1,14,38.3℃,김두영,디지털기기,직거래 .택배가능,"- 다이슨 청소기 V10 호환 배터리
- 배터리 모델명 : SV12, SV12G, SV27 호환
- 옵션 : V10 4000mAh 21700셀 (필터포함)

- 배터리 방전인줄 알고 구매했는데 청소기 자체에 문제가 있던거라서, 끼워보기만 하고 실 사용은 전혀 하지 않은 제품입니다.

제품정보 : 하단 링크 확인
https://naver.me/F8lC2Bdi",45000
청소기,다이슨 청소기,다이슨 V8 무선 청소기 양천,거래완료,"70,000원",양평제1동,2026-08-26,2,11,168,41.5℃,봄이아빠,생활가전,염창동아1차아파트,"다이슨 싸이클론 V10 무선청소기 미개봉 새제품입니다

강력한 흡입력과 다양한 청소 툴을 제공하여 집안 곳곳을 깨끗하게 청소할 수 있습니다

박스 상태도 매우 깨끗하며, 개봉하지 않은 새 제품이라 선물용으로도 좋습니다",70000
청소기,다이슨 청소기,다이슨 V8 앱솔루트 무선 청소기,예약중,"60,000원",신길동,2026-08-15,5,21,484,46.9℃,빙봉,생활가전,"직거래 희망하며, 궁금한 점 있으시면 편하게 연락 주세요 😊","다이슨(Dyson) V8 앱솔루트 무선청소기입니다.

다이슨 정품이며, 사용감은 있는 편이라 외관에 생활기스나 사용 흔적이 있습니다.

- 모델명: 다이슨 V8 앱솔루트
- 다이슨 정품 본체
- 무선 청소기
- 사용감 있음
- 구성품 모두 포함
- 청소기 헤드는 다이슨 정품이 아닌 호환제품으로 교체된 상태입니다.

사용감 및 호환 헤드인 점 감안해서 저렴하게 판매합니다.

중고거래 특성상 사용감이나 정품 여부에 예민하신 분은 신중하게 구매 부탁드립니다.

직거래 희망하며, 궁금한 점 있으시면 편하게 연락 주세요 😊",60000
청소기,다이슨 청소기,다이슨 무선청소기 (풀세트) 양천,거래중,"100,000원",양평제1동,2026-08-08,2,9,353,41.6℃,클래식,생활가전,여의도,"다이슨 V11 컴플리트 엑스트라 청소기 판매해요
사진에 보이는 구성품 모두 포함되어 있어요
충전 거치대와 다양한 브러쉬가 있어 활용도가 높아요
강력한 흡입력으로 집안 구석구석 깨끗하게 청소할 수 있어요
깔끔한 집안 관리를 위한 최고의 선택이 될 거예요
쿨거래시 네거 가능합니다.",100000
청소기,다이슨 청소기,다이슨 유선 청소기 양천,거래중,"33,000원",양평제1동,2026-07-31,0,7,411,55.9℃,할룽,생활가전,당산역 직거래합니다(가까운곳은 이동하는길에 제가 가져다드릴수있어요,"다이슨 DC22 알러지 유선 청소기예요
강력한 흡입력으로 먼지 하나 놓치지 않아요
다양한 구성품으로 집안 구석구석 깨끗하게 청소할 수 있어요
청소기 사용하시는 분들에게 추천드려요

사용감 많아요 ~~ 상태보시구 구매하세용",33000
청소기,다이슨 청소기,다이슨 V8 무선청소기 중고 핀매,거래완료,"41,000원",도림동,2026-07-31,2,12,472,43.7℃,아싸구리,생활가전,사이즈가 있어서 직거래만 가능해요.,"다이슨 V8 무선청소기 (sv10k) 판매해요
사진에 보이는 구성품 모두 포함되어 있어요
깨끗하게 관리된 제품입니다. 생활 기스 있어요ㅎ
 ■ 고장 아님!!! 부품용도 아님!!!

강력한 흡입력으로 집안 구석구석 깔끔하게 청소할 수 있어요
☆ 배터리 정품 같이 보내드립니다 AS하실 때 교체하셔야 합니다
● 현재 장착된 배터리 용량큰거 입니다.

☆ 헤더는 없습니다. 구입하셔야 합니다. ",41000
청소기,다이슨 청소기,상태 A급 다이슨 V6 무선청소기용 정품 카펫브러쉬 단품팝니다 3만원 영등포동3가,거래중,"28,000원",영등포동,2026-08-22,0,2,28,45.8℃,괴목,생활가전,힐스테이트 앞 편의점,"다이슨 디지털 슬림 플러피 플러스 무선청소기 판매합니다

박스에 담겨 있고, 스탠드형 거치대 포함입니다

거치대포함, 설명서 다 있습니다.

거치대는 꺼내만 놨고 
사진상에 보이는 다른거치대에 사용을 해서 
비닐만 띄면 새거처럼 깨끗합니다

생활흠집 있고 내부 청소 필요합니다
필터는 주기적으로 세척 건조 해서 사용했습니다. 
찜찜하시면 새 필터 구매하시는게 좋을거 같아요.",28000
청소기,다이슨 청소기,다이슨 무선청소기 sv09 동작,거래중,"20,000원",신길제5동,2026-08-28,0,0,19,73.5℃,랄라라,생활가전,문고리 거래만 합니다.,"다이슨 V10 카본파이버 무선 청소기 판매합니다 ~!
사용감은 다소 있으나 상태는 양호하며, 아파트정도는 무리없이 청소 가능합니다.

사진에 보이는 구성품 모두 포함되어 있으며,
깔끔한 구성과 디자인, 그리고  다이슨 청소기다운 강력한 흡입력을 지속합니다.

중고거래 특성상 교환,환불 어려운점 이해 부탁드립니다.",20000
청소기,다이슨 청소기,[미개봉 새 롤러포함] 다이슨 WashG1 물청소기 팝니다 (풀박스),거래중,"520,000원",신길동,2026-08-08,0,4,67,44.7℃,귤이,뷰티/미용,직거래 선호합니다!,"실사용 10회 정도로 적게 사용한 다이슨 WashG1 최신 물청소기 판매합니다! 다른 청소기를 새로 또 사게 되어서 내놓아요.

작동 아주 잘 되고, 사용했던 부품과 물통은 모두 깨끗하게 세척 및 건조해 두어서 바로 가져가서 쓰시면 됩니다. 

[구성품]
- 다이슨 WashG1 본체 + 충전 거치대
- 미개봉 정품 새 롤러 (박스 채 새상품)
- 정품 박스 풀세트

실사용 횟수 적고 깨끗하지만, 제품 특성상 약간의 외관 생활 사용감은 있을 수 있습니다. 미개봉 추가 롤러까지 포함된 구성이라 나중에 교체해서 쓰시기 좋습니다.

직거래 선호합니다!
📍 직거래 장소: 힐스테이트 클래시안
💬 편하게 채팅 주세요!",520000
청소기,다이슨 청소기,다이슨 V8 애니멀 무선 청소기,거래완료,"85,000원",신길제7동,2026-08-07,3,9,351,66.3℃,당근포,생활가전,신도림 푸르지오 2차 상가 내 GS편의점 앞,"다이슨 V8 애니멀 무선 청소기 판매해요
사진에 보이는 구성품 그대로 드려요
거치대와 다양한 브러쉬 포함되어 있어요
강력한 흡입력으로 집안 구석구석 깨끗하게 청소할 수 있어요
반려동물 털 제거에 탁월한 성능을 자랑하는 모델이에요

3년전 배터리 교체 및 청소까지 받았어요
작동 잘 됩니다

너무 깨끗하게 청소해서 드리긴 어려워요",85000
청소기,다이슨 청소기,다이슨 V8 앱솔루트 퍼플 무선 청소기 동작,예약중,"100,000원",신길제5동,2026-08-26,3,25,435,72℃,체리,생활가전,🧡선입금 문고리거래 가능(신상도초근처),"헤드 종류별로 있고 작동 잘 됩니다 이민가게되어 처분합니다


🧡사용감은 있지만 깨끗합니다
🧡예민맘 사절
🧡교환/환불 불가
🧡선입금 문고리거래 가능(신상도초근처)
🧡바로구매가능",100000
청소기,다이슨 청소기,다이슨 V6 무선 청소기 기본셋,거래완료,"60,000원",여의동,2026-08-17,1,1,193,70.6℃,살찔텐데,생활가전,직거래는 구로구청 근처입니다,"다이슨 V6 무선 청소기입니다
사진에서 보이는 구성품 그대로 드려요
깔끔하게 청소할 수 있는 무선 청소기랍니다
자주 사용하지 않아 깨끗하게 사용하실 분께 추천드려요",60000
청소기,다이슨 청소기,[새상품] 다이슨 호스 연장관 세트 V7 V8 V10 V11 V12 V15 양천,거래중,"5,000원",양평제1동,2026-08-24,0,4,43,52.2℃,꽃송이,생활가전,신주공,"다이슨 청소기 호스 연장관 세트예요
사진처럼 구성품 모두 포함되어 있어요

청소하기 어려운 곳까지 닿을 수 있도록 
도와주는 유용한 제품이랍니다

✅좁은 틈새나 높은 곳 
✅차량 실내 청소",5000
청소기,다이슨 청소기,다이슨 V8 무선 청소기,거래완료,"100,000원",도림동,2026-07-31,3,12,195,37.8℃,귀찮,생활가전,당산역 직거래합니다(가까운곳은 이동하는길에 제가 가져다드릴수있어요,"작동잘되고
깨끗합니다",100000
청소기,다이슨 청소기,다이슨 sv09 무선 청소기,거래중,"80,000원",신길제5동,2026-08-10,0,4,765,51.8℃,동동이,생활가전,동아 1차,"다이슨 sv09 무선 청소기입니다.

사진에서  보시는것처럼 손잡이 윗부분 파란색 부분이
고정이 안되어 테이프 붙여놓은것 외에 상태양호하구요.
배터리는 한번 청소할정도는 되는데 많이 쓰시면 배터리 교체 하시면 될것 같아요.

감안해서 내놓습니다.

작동 잘되는데 새 청소기 생겨서 내놓습니다.
필요하신분 연락주세요 ~
",80000
청소기,다이슨 청소기,다이슨 V10 앱솔루트 무선청소기 + 거치대 (밧데리방전),거래완료,"50,000원",도림동,2026-08-24,5,2,100,44.3℃,부항,생활가전,신대방삼거리역 5번출구앞,"-다이슨 V10 앱솔루트 무선청소기
-직구 (110->220 변환 사용함 )
-거치대+ 다른틀(연속 작동 고정핀 포함)
-사용감 있음 

  밧데리 사서 저렴하게  사용하고싶은분들  
   구매바랍니다",50000
청소기,다이슨 청소기,다이슨 VS18 슬립 무선청소기 양천,거래완료,"160,000원",양평제1동,2026-08-04,3,9,330,47.4℃,맥가이버,생활가전,직거래 독산4동 주민센터 부근에서 가능합니다.,"다이슨 VS18 슬립 무선청소기
가벼워서 좋아요
사진에 보이는 구성품 모두 포함되어 있어요
강력한 흡입력으로 먼지 하나 없이 깔끔하게 청소할 수 있어요
집안 구석구석 깨끗하게 관리하고 싶으신 분들께 추천드려요",160000
청소기,다이슨 청소기,다이슨 V8 Fluffy Pro 무선청소기,거래중,"180,000원",신길제5동,2026-07-01,8,17,431,99℃,준이,생활가전,똥겁데기 실내포차 앞,"다이슨 V8 Fluffy Pro 무선청소기입니다
사진에 보이는 구성품 모두 포함되어 있어요
강력한 흡입력으로 집안 구석구석 깨끗하게 청소할 수 있어요
자주 사용하는 청소기라 먼지 걱정 없이 깔끔한 집을 유지하고 싶으신 분들께 추천드려요

선물 받고 사용거의 안했습니다 다른 제품이 있어서요 손이 안가 판매합니다",180000
청소기,다이슨 청소기,다이슨 SV18 디지털 슬림 플러피 오렌지 무선청소기,거래완료,1원,대림동,2026-08-22,3,0,93,40.9℃,구름바람,생활가전,"생활기스 존재하고, 직거래하면서 작동상태확인후","다이슨 SV18 디지털 슬림 플러피 오렌지무선청소기입니다 
정상작동하며 제품에 이상없습니다
본체, 충전 거치대, 충전기, 틈새 노즐, 콤비 브러시, 플러피 클리너 헤드 등 구성품 모두 포함되어 있어요. 강력한 흡입력으로 집안 구석구석 깨끗하게 청소할 수 있답니다. 
작동시간은 딱히 재보진 않았지만 32평청소하고 남습니다
특히 슬림이라 가볍기 때문에
손목에 무리가 안가고 사용하기
엄청편합니다
생활기스 존재하고, 직거래하면서 작동상태확인후
거래하시기 바랍니다

중고 특성상 거래후 교환,환불
안됩니다
",1
청소기,다이슨 청소기,다이슨 클린+워시 하이진 물걸레 청소기,거래중,"360,000원",도림동,2026-08-03,1,4,104,42.6℃,노랑당근,생활가전,흑석역,"다이슨 클린+워시 하이진 물걸레 청소기예요
바닥 청소와 물걸레질을 동시에 할 수 있어 편리해요
사진에서 보이는 구성품 그대로 드려요
깨끗한 바닥을 유지하고 싶으신 분들께 추천드려요

선물받아서 1회 테스트 사용만 해봤음.
네고문의 안받습니다.
가까운곳 가져다 드릴수있어요",360000
청소기,다이슨 청소기,다이슨 정품 청소기 헤드 툴 세트 양천,거래중,"5,000원",양평제1동,2026-07-01,3,1,450,40.1℃,고산이,생활가전,주차장,"다이슨 무선 청소기입니다.
초창기 모델이라 연식이 있고,(V시리즈입니다)
무게감도 있는 편이구요.
마지막 사진처럼 플라스틱 부분에 테이핑 처리있습니다.
거치대는 벽에 고정하는 핀이 없이 사용했습니다.
쿨거래
질문사절",5000
청소기,다이슨 청소기,다이슨 V10 싸이클론 모터헤드 레드 무선청소기 양천,거래완료,"90,000원",양평제1동,2026-08-21,3,3,142,39.4℃,라나,생활가전,데이롱카페 여의도랜드마크점 에서 직거래 원합니다.,"다이슨 V10 싸이클론 모터헤드 무선청소기입니다
레드 색상으로 깔끔하고 모던한 디자인을 자랑해요
사진에서 보이는 구성품 그대로 드립니다 스탠드도 같이 판매해요
이사하면서 정리해요",90000
청소기,다이슨 청소기,다이슨청소기 콤비네이션 노즐/ 틈새 노즐(미사용) 문래동3가,거래완료,"9,000원",영등포동,2026-08-19,1,1,35,37.1℃,당근당근,생활가전,망원동491 직거래,"무선 청소기 거치대입니다
깔끔한 흰색이며, 상태 좋습니다.
인터넷에 판매중인 가벼운 제품 아닙니다~
스틸 재질에 무게감 잇고 견고하게 잘 고정됩니다.",9000
청소기,다이슨 청소기,다이슨 V10 청소기 헤드,거래완료,"10,000원",여의도동,2026-08-16,1,1,51,38.8℃,괴목,생활가전,명인세탁소,"다이슨 V8 플러피 무선 청소기입니다.
구매 후 한번도 배터리 교체를 안해서 작동이 안되는 것 같은데, 부품교체하면 될 것 같아요. 저는 사용하기 좀 무거워 이참에 새로 구매해서 처분하려 합니다. 

다양한 구성품과 함께 제공되어 활용도가 높아요
사진에서 보시는 것처럼 구성품 모두 포함되어 있습니다.  부속품은 거의 사용하지 않은 새거입니다. 설명서도 같이 드려요. 


가양역 근처 문고리 거래합니다.",10000
청소기,다이슨 청소기,다이슨 청소기 배터리 리필 부품 당산동3가,거래중,"10,000원",영등포동,2026-08-16,0,2,75,55.9℃,라이트닝,생활가전,영등포구청역 근처에서 직거래합니다,"다이슨 청소기 배터리 리필/DIY용 부품 일괄 1만원 (V8/V7/V6, BMS 락 상태)
다이슨 청소기 배터리 DIY 리필 작업이나 파츠 활용 목적의 부품 일괄 판매합니다.
내부 배터리는 모두 적출되어 있는 부품용/DIY용 부품입니다.
구성품 (총 7개 일괄)
 * 부품 모두 있음 (5개): V8 4개, V6 1개
 * 부품 일부 있음 (2개): V6 1개, V7 1개
 * 배터리: 전 제품 셀 제거됨 (배터리 없음)
상태 및 특이사항 (필독)
 * BMS 회로는 모두 락(Lock)이 걸려 있는 상태입니다. (회로 리셋 기술이 있으시거나 부품용/케이스용으로 쓰실 분 추천)
 * 부품 상태에 따라 일부 고장이 있을 수 있습니다.
 * 스팟 용접, 니켈 플레이트 작업, 케이스 이식 등 DIY/파츠용으로 활용하실 분이 가져가셨으면 합니다.
 부품용 특성상 교환 및 환불은 불가합니다.

영등포구청역 근처에서 직거래합니다
",10000
청소기,다이슨 청소기,다이슨 V7 V8 V10 V11 호스 부품 파란색 동작,예약중,"3,000원",신길제5동,2026-08-13,1,9,451,47.7℃,등촌맘,생활가전,직거래 서울시 관악구 봉천동 구암고등학교 주차장 진입로에서 합니다.,"다이슨 무선 청소기입니다~

사진에 보이는 모든 부품 같이 드려요!

사용감은 있습니다, 먼지통은 뚜껑에 테이프 붙여서
사용했구요.  청소하는데는 문제 없습니다.
베터리는 정품아닙니다.

교환.환불 불가합니다.",3000
청소기,다이슨 청소기,다이슨 멀티플로어 유선청소기 판매 영등포,거래완료,"45,000원",양평제1동,2026-08-12,1,3,97,38.7℃,하내커,생활가전,📌 직거래 우선,"다이슨 DC28C Multi Floor 유선청소기 판매합니다.

다이슨 볼 DC28C 멀티플로어 청소기예요
사진에서 보이는 것처럼 구성품 모두 갖춰져 있어요
다이슨 특유의 강력한 흡입력으로 먼지 하나 없이 깨끗하게 청소할 수 있어요
바닥, 카펫 등 다양한 곳에 사용하기 좋은 청소기랍니다.

잘 사용하고 있는  다이슨 청소기를 판매합니다.

✔ 모델명: Dyson Ball DC28C Multi Floor

사진에 보이는 것처럼 본체, 호스, 연장봉, 바닥용 헤드 등 주요 구성품 함께 드립니다.

다이슨 특유의 강력한 흡입력이 장점인 유선 청소기라 넓은 집 청소용으로 사용하기 좋습니다.

 사용한 제품이라 사진에서 보시는 것처럼 생활 사용감과 약간의 스크래치가 있습니다. 새 제품 같은 상태를 원하시는 분은 신중하게 봐주시고, 실용적으로 사용하실 분께 추천드립니다.

정상 작동하며, 거래 시
먼지통 세척해 드리겠습니다.

📌 판매가격: 5만 원

📌 직거래 우선
📌 중고제품 특성상 거래 후 교환·환불은 어렵습니다.

필요하신 분께서 편하게 채팅 주세요.

",45000
청소기,다이슨 청소기,다이슨 V7 V8 무선청소기 벽걸이 거치대 (고정 나사/칼블럭 포함),거래중,"15,000원",양평제1동,2026-08-14,0,1,20,45.9℃,도데,생활가전,직거래는 영등포동3가 20번지 용용선생앞입니다,"다이슨 사이클론 V10 부속품 정리합니다.
실사용 거의 없어 전체적으로 사용감 적고 
상태 매우 좋습니다.

구성
• 미니모터헤드 (침구 / 소파용)
• 소프트 브러시 헤드
• 2in1 콤비 브러시
• 틈새 노즐
• 연장 파이프
• 플렉시블 호스
• 수납 가방

필요하신 분 연락 주세요.
직거래 가능합니다.",15000
