id,카테고리,검색어,제목,상태,가격,지역,등록시각,채팅수,관심수,조회수,매너온도,판매자닉네임,상세카테고리,거래희망장소,상세설명,가격원,이미지파일
b2b4b3c05b97bd6e1ff5a7694d8467bf5a9f4fc21b756e438ab71faffc96a78e,청소기,다이슨 청소기,다이슨 무선청소기 거치대 구리,거래중,"12,000원",공릉1동,2026-08-30,1,2,47,99℃,버즈,생활가전,,"다이슨 무선청소기 거치대 입니다    튼튼하고 안전성 있어요  깨끗하고 상태좋아요  거치 볼트 넛트 있어요 
",,노원구/images/b2b4b3c05b97bd6e1ff5a7694d8467bf5a9f4fc21b756e438ab71faffc96a78e.png
4abce358f6776e0752be3e599957cadefd3f3a84897c6d3a94dc8705dca499be,청소기,다이슨 청소기,다이슨 앱솔루트 무선청소기,거래중,"130,000원",공릉1동,2026-09-01,0,12,229,61℃,국내산흙당근,생활가전,,"다이슨  앱솔루트 무선청소기입니다
다양한 구성품과 함께 사용 가능해요
사진에서 보이는 것처럼 깔끔하게 관리되었어요
강력한 흡입력으로 집안 구석구석 깨끗하게 청소할 수 있어요. 흡입력으로 좋습니다 모터및필터  상태 사진참고 
자주 사용하지 않아 깨끗한 상태의 청소기를 찾으시는 분들께 추천드려요. 깨끗합니다 봉 생활기스 있구요 충전잘되구요(배터리는소모품입니다)",,노원구/images/4abce358f6776e0752be3e599957cadefd3f3a84897c6d3a94dc8705dca499be.png
bd605d32c4771e10c3e9377cb3fa64585ad3785bb42a217c0feb75f71afd59f4,청소기,다이슨 청소기,다이슨 V10 무선청소기 풀세트,예약중,"150,000원",공릉동,2026-09-01,0,1,79,58.7℃,윤슬,생활가전,,"다이슨 V10 무선청소기 풀세트 판매해요
다양한 구성품과 함께 있어 활용도가 높아요
사진에서 보시는 것처럼 모든 구성품이 포함되어 있어요. 

바로구매시 포장문제로 철재거치대는 미포함 조건으로 14만원에 드릴께요.",,노원구/images/bd605d32c4771e10c3e9377cb3fa64585ad3785bb42a217c0feb75f71afd59f4.png
96a254c57e43d8f9369376e3a0ac9ec752cc8522db6aa3a6e7e74c41be6e30e0,청소기,다이슨 청소기,구형 다이슨 청소기 정품 충전기,거래중,"8,000원",공릉동,2026-09-01,0,5,106,85.3℃,세기말인간,생활가전,,"구형 다이슨 청소기 정품 충전기 판매해요. v6,7,8 모델에는 안맞습니다.
DC30, DC31, DC34, DC35, DC44, DC45, DC56 모델에 사용 가능해요
입력 100-240V, 출력 24.35V로 안정적인 충전이 가능해요
청소기 사용하시는 분들에게 꼭 필요한 제품이에요",,노원구/images/96a254c57e43d8f9369376e3a0ac9ec752cc8522db6aa3a6e7e74c41be6e30e0.png
4d79cfe2032d2a29fcddf410c349df19be9131591ee5b869b5806d30aef93618,청소기,다이슨 청소기,다이슨 청소기 툴 세트,거래중,"15,000원",공릉1동,2026-03-07,4,9,722,41.3℃,유탑트윈,생활가전,,"다이슨 청소기 툴 세트입니다
다양한 브러쉬로 구성되어 있어, 용도에 맞게 선택하여 사용할 수 있습니다
침구 청소용 헤드도 포함되어 있습니다

픽업 양원역 근처 또는 택배 가능해요",,노원구/images/4d79cfe2032d2a29fcddf410c349df19be9131591ee5b869b5806d30aef93618.png
1f2d17cdce0fbcf94ad1c5bee49489b760fe01e59c20b8abf93b2bdd933799d5,청소기,다이슨 청소기,다이슨 V6 무선청소기 재당근 도봉,거래중,"38,000원",공릉1동,2026-08-25,2,14,523,58℃,사고팔고,생활가전,,"청소기 당근에서 2만원에 구매하고
배터리 알리에서 18,000원에 구매하여 새걸로 교체 했습니다

헤드만 사용감 있고 청소기는 상태 좋습니다

배터리 구매하고 배송까지 열흘이 넘게 걸려 기다리다 다른 청소기가 생겨 판매합니다

충전기 함께 드리며
사진외 부속품은 따로 없습니다",,노원구/images/1f2d17cdce0fbcf94ad1c5bee49489b760fe01e59c20b8abf93b2bdd933799d5.png
bad125398b1154b108d2f790bf995c8457e7a3aa7bb3509dcb7f19f8315b6728,청소기,다이슨 청소기,다이슨 V6 무선청소기 도봉,거래완료,"20,000원",공릉1동,2026-09-01,2,8,343,45.2℃,오아범,생활가전,,"다이슨 V6 무선청소기예요
사진에 보이는 구성품 그대로 드려요
강력한 흡입력으로 집안 구석구석 깨끗하게 청소할 수 있어요
자주 사용하는 청소기, 이제 편하게 사용해보세요
베터리 방전입니다
베터리 구입하셔요
중고특성상 반품 안돼요 ㆍ
",,노원구/images/bad125398b1154b108d2f790bf995c8457e7a3aa7bb3509dcb7f19f8315b6728.png
57f50e26d56462c4cd95a37e2c34eb8f2168e501d1fbe434b59aa031218b240f,청소기,다이슨 청소기,다이슨 V10 무선 청소기,거래완료,"100,000원",공릉1동,2026-08-29,2,1,172,94.3℃,캐드비오,생활가전,,"다이슨 V10  무선 청소기입니다.
싸이클론의 검정 부분은 칠이 벗겨진 겁니다.
롤러헤드 전면의 플라스틱 손잡이는 스틸로 
개조했습니다.
필터의 표면 천이 약간 벗겨졌구요.
먼지통 뚜컹의 큰 고무 둘레가 약각 갈라졌네요.
먼지통 윗쪽 빨간색 패킹 고정용 플라스틱이 약간
덜렁거려 본드로 고정시켰어요.
사용에는 지장이 없구요.

기타 기능은 이상 없습니다.

아답터는 없구 배터리는 완충 후 1단에서
30분까지 써 봤구  그 이상도 작동하지만,
집이 30분이면 청소가 다 끝나서
30분을 초과해서 써보진 않았습니다. 

구입 후 반품, 환불 불가합니다.
",,노원구/images/57f50e26d56462c4cd95a37e2c34eb8f2168e501d1fbe434b59aa031218b240f.png
be60f2bf168c09d0edaa8ad8ed03eb576f088e840c88806b2e63354b028580dd,청소기,다이슨 청소기,"다이슨 v8 앱솔루트 무선 청소기, 스탠드 거치대",거래중,"35,000원",공릉동,2026-08-29,3,2,167,44℃,나와같다면,생활가전,동일옥,,,노원구/images/be60f2bf168c09d0edaa8ad8ed03eb576f088e840c88806b2e63354b028580dd.png
e6610cc3d7066a441ff2f9c14fe9b166a8f9a9a3a9c619c5e621e27e0a7da3e6,청소기,다이슨 청소기,다이슨 V8 무선 청소기 경기 구리시,거래완료,"30,000원",공릉1동,2026-08-30,2,3,182,44.1℃,만물상자,생활가전,,"다이슨 V8 무선 청소기입니다
사진에서 보이는 구성품 그대로 드려요
강력한 흡입력으로 집안 구석구석 깨끗하게 청소할 수 있어요
(참고) 충전기 없어요 따로 구매하셔야 합니다.",,노원구/images/e6610cc3d7066a441ff2f9c14fe9b166a8f9a9a3a9c619c5e621e27e0a7da3e6.png
13c8b982ff26018543067d453c62fa60310f273712a0a26c012b01c2ecdb461a,청소기,다이슨 청소기,다이슨 V8 무선 청소기 본체 경기 구리시,거래완료,"25,000원",공릉1동,2026-08-30,6,4,133,44.1℃,만물상자,생활가전,,"다이슨 V8 무선 청소기 본체 판매해요
사진에 보이는 구성품 그대로 드려요
강력한 흡입력으로 집안 구석구석 깨끗하게 청소할 수 있어요
(참고) 배터리는 약 50 프로 정도 되고요. 충전기는 없어서 가격 저렴하게 올립니다.
충전기 따로구매 해서 사용하세요.",,노원구/images/13c8b982ff26018543067d453c62fa60310f273712a0a26c012b01c2ecdb461a.png
8209556ec5a2ba6d118e9b45606e8e9e7084f73cff753f1c8c86abdd2ef302fa,청소기,다이슨 청소기,다이슨 V6 Cord-free Origin 무선청소기,나눔완료,무료나눔,공릉1동,2026-08-30,2,1,272,46.9℃,람작,생활가전,,"다이슨 V6 Cord-free Origin 무선청소기

사진에 보이는 본체와 연장관입니다
강력한 흡입력으로 집안 구석구석 깨끗하게 청소할 수 있어요

모터가 고장나서 수리한 뒤 쓰셔야하는데 미국에서 구입한거고 기한이 지나서 에이에스는 안 될 거예요
연결선도 찾아보니 없는데 ㅠㅠ
혹시나 싶어 올려봅니다",,노원구/images/8209556ec5a2ba6d118e9b45606e8e9e7084f73cff753f1c8c86abdd2ef302fa.png
5eef3c838076d52680b52beb586f3cda25e6b20478d90b725c557f7f990dfbc7,청소기,다이슨 청소기,💥다이슨 펜슬백 플러피콘 청소기 미개봉💥,거래중,"480,000원",공릉1동,2026-08-14,1,3,68,36.8℃,당근마켓10,생활가전,,"다이슨 펜슬백 플러피콘 청소기예요
모델명/품번 492693-01이며 혼합색상입니다
박스 구성품 미개봉 상품입니다🙂
쿠팡에서 새상품구매시 60만원 입니다😭
쿨거시 네고 가능
깔끔한 디자인으로 어느 공간에나 잘 어울려요",,노원구/images/5eef3c838076d52680b52beb586f3cda25e6b20478d90b725c557f7f990dfbc7.png
2d512f9b33bcfc4cc2e31479526a1baf5918d588f7049c3c31e7802483da7571,청소기,다이슨 청소기,다이슨 V6 무선 청소기,거래중,"28,000원",월계동,2026-08-29,0,6,711,45.8℃,예쁘게웃는펭귄,생활가전,,"다이슨 V6 무선 청소기 
보관중 아답터 분실로 작동여부 알수 없음
부품용으로 쓰실분",,노원구/images/2d512f9b33bcfc4cc2e31479526a1baf5918d588f7049c3c31e7802483da7571.png
a626cf87af83fe7476c90a276e5148611d28ef5ce0758bddac85bbaffa6f0f73,청소기,다이슨 청소기,다이슨 v10 싸이클론 무선청소기,거래완료,"170,000원",상계동,2026-08-26,2,0,91,41.1℃,바다,생활가전,직거래는 상계/도봉/장암,"다이슨v10 싸이클론 무선청소
내외부 분해 세척건조 
외관상태 양호한 편입니다 
흡입력좋고  조용한편 입니다
흰색 거치대에 최적입니다
배터리는 40분가까이 작동
구성은 사진처럼 10여가지
가격흥정 불가 
직거래는 상계/도봉/장암 
문의는 칠칠삼공-칠사공칠 ",,노원구/images/a626cf87af83fe7476c90a276e5148611d28ef5ce0758bddac85bbaffa6f0f73.png
c24fbe2d477d7ddbb371ef79f139fc6479d311b2e0ad287d6c347792e232cd42,청소기,다이슨 청소기,다이슨 V8 무선 청소기,거래중,"100,000원",하계동,2026-08-04,1,3,200,36.8℃,집주인,생활가전,,"다이슨 V8 무선 청소기 판매해요
강력한 흡입력으로 먼지 하나 없이 깨끗하게 청소할 수 있어요
사진에 보이는 구성품 그대로 드려요
청소기 본체와 거치대 포함입니다
사용감 있으며 거치대 2대 드려요",,노원구/images/c24fbe2d477d7ddbb371ef79f139fc6479d311b2e0ad287d6c347792e232cd42.png
a762db515700816760ef9a2f7de374cd14e39469363a6710d0888112971a51de,청소기,다이슨 청소기,다이슨 V8 배터리 필터 세트,거래중,"59,000원",상계8동,2026-08-26,0,3,49,52.8℃,나는나는,생활가전,,"다이슨 V8 청소기 배터리 필터 세트예요
새 제품 그대로 포장되어 있어요
필터 교체로 청소기 성능을 유지해보세요
깨끗한 공기를 위해 필터 관리는 필수랍니다",,노원구/images/a762db515700816760ef9a2f7de374cd14e39469363a6710d0888112971a51de.png
659b82a03ef69faeafee225ad7f0a4503684c083424cb0b9e58ff295be72500a,청소기,다이슨 청소기,다이슨 V7 무선 청소기 풀세트,거래완료,"60,000원",공릉1동,2026-08-26,2,5,222,35.6℃,댕댕,생활가전,,,,노원구/images/659b82a03ef69faeafee225ad7f0a4503684c083424cb0b9e58ff295be72500a.png
8c0293a31d52b75c12967a9629f7b30bfc994dea6b6a44a2ed168facdac9b4cb,청소기,다이슨 청소기,다이슨 V8 앱솔루트 무선 청소기,거래완료,"40,000원",공릉1동,2026-08-26,1,2,684,54.4℃,KPKK,생활가전,갈매역 아이파크 후문,"다이슨 V8 앱솔루트 무선 청소기입니다
본체와 연장관, 툴이 포함되어 있어요
사진에서 보이는 구성품만 있고, 충전기는 없습니다.
배터리는 바로 교체 필요한 수준 입니다.",,노원구/images/8c0293a31d52b75c12967a9629f7b30bfc994dea6b6a44a2ed168facdac9b4cb.png
7530efede3f31e052695ecdd9744b64299fce2d70d7f7f9c40045e149193fb1c,청소기,다이슨 청소기,다이슨 V8 무선청소기 레드,거래중,"170,000원",공릉1동,2026-08-11,0,3,97,41.6℃,핸디맨,생활가전,,"다이슨 V8 무선 청소기 판매해요
박스 구성품 그대로 있으며, 본체와 다양한 청소 툴 거치대 포함되어 있어요
사진에서 보이는 것처럼 깔끔하게 보관되어 있답니다

구매해서 개봉해서 한번만 사용하고 슬립모델로 재구매 하면서 당근합니다..",,노원구/images/7530efede3f31e052695ecdd9744b64299fce2d70d7f7f9c40045e149193fb1c.png
b1814d76b2c5869f15b0b5c05066a869cb7df1dc7ea6d0b7edf554c23c346ac7,청소기,다이슨 청소기,다이슨 V8 플러피 프로 무선청소기,예약중,"85,000원",공릉1동,2026-08-10,4,32,1396,61℃,국내산흙당근,생활가전,,"다이슨 V8 플러피 프로 무선청소기입니다
고성능 모터와 다양한 구성품으로 집안 구석구석 깔끔하게 청소할 수 있어요
사진에서 보이는 구성품 모두 포함되어 있습니다
청소의 신세계를 경험해보세요 배터리는 아직 쓸만하구요 작동 잘되요 본체 거치대 부속 충전기 ",,노원구/images/b1814d76b2c5869f15b0b5c05066a869cb7df1dc7ea6d0b7edf554c23c346ac7.png
7ada9356dae9164df89ca14e4d1dcc60874b263b7d7bdfda8d569b6c7c65bdca,청소기,다이슨 청소기,다이슨 펜슬릭 플러피콘 무선청소기 미개봉 성북,거래중,"456,000원",공릉1동,2026-08-10,1,3,60,36.5℃,당근왕,생활가전,월곡동 직거래!!!,"다이슨 펜슬릭 플러피콘 무선청소기 새상품입니다
박스 구성 그대로 안전하게 보내드려요
깔끔한 디자인과 강력한 성능으로 집안 어디든 깨끗하게 청소할 수 있어요
청소의 번거로움을 덜어줄 똑똑한 청소기랍니다

월곡동 직거래!!!",,노원구/images/7ada9356dae9164df89ca14e4d1dcc60874b263b7d7bdfda8d569b6c7c65bdca.png
1ef7f245a270d8fb33f72965e611b5accd1cbf692a7ee92a4867a180bd6f9859,청소기,다이슨 청소기,다이슨 V6 무선 청소기,거래중,"70,000원",공릉1동,2026-05-06,1,2,575,50℃,나뭇잎,생활가전,,"다이슨 V6 무선 청소기 판매해요
배터리만 망가진 상태고 배터리 교체해서 쓰시거나 오늘 다이슨에 전화해서 물어보니 이거를 다이슨에 반납하고 보상구매 형식으로 다른 새거 모델을 저렴하게 살 수 있다고 합니다~ 가격 조정 가능하니 문의주세요",,노원구/images/1ef7f245a270d8fb33f72965e611b5accd1cbf692a7ee92a4867a180bd6f9859.png
e5ad540c0aee900e842f4ad53e7da0af334d3b72682386aa9380995a7699f550,청소기,다이슨 청소기,"다이슨 청소기(고장), 덴켄 다이슨 거치대 성북",거래완료,"15,000원",공릉1동,2026-08-21,2,1,74,74.9℃,황프로,생활가전,,"다이슨 청소기 고장났습니다
거치대 가격만 받고 판매해요
고쳐서 쓰실분 구매 하세요
상월곡역 근처 입니다
직접 픽업하러 오셔야 하세요
",,노원구/images/e5ad540c0aee900e842f4ad53e7da0af334d3b72682386aa9380995a7699f550.png
23c22611de50270b108c1029eb93ffd3d76e31c290dc12fdba80e432e41dcdae,청소기,다이슨 청소기,다이슨 디지털 슬림 청소기 액세서리 팝니다 도봉,거래완료,"40,000원",공릉1동,2026-08-18,1,2,55,48.2℃,부시시쌍둥이,생활가전,동아청솔아파트 주변 또는 창동역 1번출구 에서 직거래 합니다,"다이슨 디지털 슬림 청소기 액세서리 판매해요

모터가 고장나서 수리 안하고 다른 제품을 사게되어 멀쩡한 액세서리 팝니다

1, 4, 9 는 사용감 있으나 기능상 문제 없는 것 입니다.
1 : 4,000원
2 : 2,000원
9 : 3,000원
5번의 경우(배터리) 완충 상태에서 집청소(32평)하면 30분 정도 남았다고 나옵니다.아직 상태 괜찮다고 생각합니다.
5 : 10.000원
2, 3, 6, 7, 8, 11, 12, 13 모두 새거와 진배 없이 사용감 전혀 없습니다
모두 4.000원,
10은 안에 부품 깨저서 야매부품 사서 수리한거라 1,000원,
그리고 전원공급 거치대는 전혀 문제없는 제품이라 5,000원 
받겠습니다

모두 다 사신다면 4만원에 다 드리겠습니다

동아청솔아파트 주변 또는 창동역 1번출구 에서 직거래 합니다 

관심있는 분 연락주세요 
",,노원구/images/23c22611de50270b108c1029eb93ffd3d76e31c290dc12fdba80e432e41dcdae.png
96d6cfbbd77da776666131df908327cd3bf078bf84f9540ce7e0de8cfd1f2455,청소기,다이슨 청소기,다이슨 디지털슬림 서브마린 새상품 도봉,거래중,"365,000원",공릉1동,2026-08-18,1,1,32,36.5℃,승승장구,생활가전,창동역 근처,"다이슨 디지털슬림 서브마린 미개봉 새상품이고 물걸레 겸용 청소기 입니다
창동에서 거래 가능합니다",,노원구/images/96d6cfbbd77da776666131df908327cd3bf078bf84f9540ce7e0de8cfd1f2455.png
ffe2530216946ef64ae021e80802344ace53668acd3aeef0690f8da712d2bbc7,청소기,다이슨 청소기,다이슨 V7 무선 청소기,거래완료,"10,000원",월계동,2026-08-18,2,4,280,42.8℃,whatisy,생활가전,직거래만 가능,"다이슨 V7 무선 청소기입니다
사진에서 보이는 구성품 그대로 드립니다
거치 막대랑 분리는 안돼요. 그대로 가져가셔야해요
가격 보시면 아시겠지만... 사용은 가능한 정도지만 상태가 좋지는 않아요. 흡입이 되는데 시원찮아요
부품용으로 사용하시던지 배터리 갈아서 사용하시던지 해야합니다
사진에 있는 모든 구성품 다 포함입니다
직거래만 가능",,노원구/images/ffe2530216946ef64ae021e80802344ace53668acd3aeef0690f8da712d2bbc7.png
c3b5dd57c2877f50abc2efc0d47c67be63965d43516f15c0f9a8449552ebb4e9,청소기,다이슨 청소기,[장난감]다이슨 유아 청소기 경기 구리시,나눔완료,무료나눔,공릉1동,2026-07-05,17,4,1044,51.1℃,마스키오,유아동,,"어린이 장난감 다이슨 V8 앱솔루트 무선 청소기입니다
사진에서 보이는 구성품 그대로 드려요",,노원구/images/c3b5dd57c2877f50abc2efc0d47c67be63965d43516f15c0f9a8449552ebb4e9.png
09422cbfbbffb1625e513e877a53d3f5b81936a9734b66975b2614d7ab3e2c03,청소기,다이슨 청소기,다이슨 싸이클론 V10 무선청소기 레드,거래완료,"150,000원",상계1동,2026-08-17,1,1,53,46.8℃,호호,생활가전,사진에서 보이는 구성품 그대로 직거래 합니다,"다이슨 싸이클론 V10 무선청소기 레드 색상
본체, 연장관, 소프트 롤러 클리너 헤드, 벽 거치대, 콤비네이션 툴, 틈새 툴, 헤어 스크류 툴, 충전기까지 모두 포함
사진에서 보이는 구성품 그대로 직거래 합니다
5회사용 ",,노원구/images/09422cbfbbffb1625e513e877a53d3f5b81936a9734b66975b2614d7ab3e2c03.png
31c20ca2e53a2924bd0de2a1f9cbcb6258aa04ab4c8b434f2ae39574faa77dd7,청소기,다이슨 청소기,"다이슨 V6 무선 청소기(사용감 있음, 자세히 읽고 신청)",나눔완료,무료나눔,월계동,2026-08-17,8,1,174,49.5℃,더위사냥,생활가전,육아중이라 문고리합니다,"다이슨 V6 앱솔루트 무선 청소기입니다
사진에서 보이는 틈새솔, 브러시 노즐, 충전기, 거치대 모두 포함이며
정품배터리 수명이 다해 1회 사설배터리 교체후 사용하였습니다

사용한지 오래되어 사용감은 많이 있는편이라
현재상태로 작동은 가능하지만 배터리가 오래가지 않는 상태이기 때문에, 일부 부품 사용계획 있으시거나 배터리 교체후 사용하실 의사 있으신 분들만 신청해주세요

육아중이라 문고리합니다
중고 거래라 교환 환불 불가합니다",,노원구/images/31c20ca2e53a2924bd0de2a1f9cbcb6258aa04ab4c8b434f2ae39574faa77dd7.png
5b2f8ef2dc4bed831e512e4cf205b7e10e1be02e5ca4221e6b7535b3b0d6fd79,청소기,다이슨 청소기,다이슨 청소기 V8 부품 풀세트,거래완료,"15,000원",공릉1동,2026-08-12,2,1,434,63.1℃,리사이클링,생활가전,,"다이슨 V8 청소기 부품 풀세트 판매해요
사진에 보이는 모든 구성품 포함되어 있어요
다양한 브러쉬와 연장관, 거치대까지 모두 갖춰져 있답니다 다이슨 가방도 포함입니다
청소 효율을 높여줄 다양한 액세서리들로 새것처럼 깨끗하게 청소해보세요

양원역 1번출구 스벅앞",,노원구/images/5b2f8ef2dc4bed831e512e4cf205b7e10e1be02e5ca4221e6b7535b3b0d6fd79.png
319d2eb3aa16690a61fc4ac02e4eba53b9fb76825adb2c7e9fbdea51b742b4fe,청소기,다이슨 청소기,다이슨 V6무선 청소기,거래완료,"30,000원",공릉1동,2026-08-13,2,10,359,54.8℃,NKF,생활가전,별내동,"다이슨 V6 무선 청소기
사진에 보이는 구성품 입니다
충전기포함입니다..",,노원구/images/319d2eb3aa16690a61fc4ac02e4eba53b9fb76825adb2c7e9fbdea51b742b4fe.png
1baa9f900c4d9262cdcb6c70827b4e2f7f6bad93d2f8f02a41e7ee6d59c8c4e6,청소기,다이슨 청소기,다이슨 워시 G1 물걸레 청소기,거래중,"170,000원",상계1동,2026-07-05,0,10,286,37.6℃,하마,생활가전,직거래는 수락중학교 정문에서 가능해요,"다이슨 워시 G1 물걸레 청소기 판매해요
사진에 보이는 구성품 그대로 드려요
물걸레 청소와 흡입을 동시에 할 수 있어 편리해요
바닥 청소를 간편하게 하고 싶으신 분들께 추천드려요

직거래는 수락중학교 정문에서 가능해요
문고리는 상황에 따라 가능해요",,노원구/images/1baa9f900c4d9262cdcb6c70827b4e2f7f6bad93d2f8f02a41e7ee6d59c8c4e6.png
